signal,frame_len,hop_ratio,window,zero_pad_factor,snr_db,fs,duration,hop,n_fft,signal_len,n_frames,mse,mae,frobenius,cosine,pearson,phase_mean,phase_std,energy_err_classical,energy_err_quantum,recon_rmse_classical,runtime_classical_s,runtime_quantum_s,rank
sine,128,0.5,hann,2,inf,16000,0.5,64,256,8000,124,7.894618404664983e-31,5.347489525258066e-16,2.000603920462981e-13,0.9999999999999999,0.9999999999999998,-1.8917021007443112e-13,9.937345715916536e-11,0.2618124764749206,0.2618124764749206,0.0019222257776761447,0.0006783329999962007,0.008145515000023806,best
chirp,128,0.5,hann,2,inf,16000,0.5,64,256,8000,124,8.397755536634584e-31,5.528522645997915e-16,2.060307024486849e-13,1.0,1.0,7.81555879602083e-15,4.200209270180763e-11,0.2609966376146793,0.2609966376146793,0.011180339938718295,0.0006810259999383561,0.007957893999900989,best
chirp,128,0.5,hann,1,inf,16000,0.5,64,128,8000,124,8.794996865047229e-31,5.466754002288172e-16,1.4348562376469522e-13,1.0,1.0,-6.763343525461793e-13,3.7191141921677224e-11,0.2609966376146793,0.2609966376146793,0.011180339938718295,0.0003939099999570317,0.007362112999999226,best
sine,128,0.5,hamming,2,inf,16000,0.5,64,256,8000,124,9.04232575846792e-31,5.57412269824877e-16,2.1270661319791796e-13,1.0,1.0,1.2352909913609037e-16,4.2721350775268365e-13,0.2176195062882181,0.21761950628821822,1.123530529382692e-16,0.0007274670001606864,0.008500640999955067,best
sine,128,0.5,hamming,1,inf,16000,0.5,64,128,8000,124,9.264965627880664e-31,5.546337447448617e-16,1.4886912242402273e-13,1.0,1.0,-1.0080981748297477e-16,3.695676437935624e-14,0.21761950628821822,0.21761950628821822,1.33370785187371e-16,0.00042031800012409803,0.007408111000131612,best
square,256,0.5,hamming,2,10.0,16000,0.5,128,512,8000,61,5.4547057673673306e-30,1.441173071705441e-15,4.946854205238719e-13,1.0,1.0,5.900903627298155e-18,1.2731694410192397e-15,0.2259481881271611,0.22594818812716122,0.09758715950543682,0.0006286979999003961,0.0047631309998905635,worst
square,256,0.5,hann,2,10.0,16000,0.5,128,512,8000,61,5.045470837344909e-30,1.3966358849378055e-15,4.804997109548915e-13,0.9999999999999999,1.0,-2.4172376304594853e-18,1.3034832171815182e-15,0.2692114254408697,0.2692114254408698,0.09849425667172189,0.0006557090000569588,0.004769674000044688,worst
square,256,0.5,hann,2,inf,16000,0.5,128,512,8000,61,4.8823852629842724e-30,1.2934797413980782e-15,4.61818686653182e-13,1.0,0.9999999999999998,2.7442756628157688e-18,4.192168891894509e-15,0.270859375,0.270859375,0.09082951062292476,0.0006604930001685716,0.004791779000015595,worst
square,256,0.5,hamming,1,10.0,16000,0.5,128,256,8000,61,4.7418046873604166e-30,1.3523413661666653e-15,3.313370527512096e-13,1.0,0.9999999999999998,-8.21860794356225e-18,1.0897386466309828e-15,0.22594818812716122,0.22594818812716122,0.09758715950543682,0.0003980980000051204,0.0040319170000202575,worst
square,256,0.5,hamming,2,inf,16000,0.5,128,512,8000,61,4.709197003041064e-30,1.2894768580903586e-15,4.652253040470608e-13,0.9999999999999999,0.9999999999999998,9.253754411194312e-17,9.12062503548979e-15,0.22725657499999988,0.22725657499999988,0.08944271909999159,0.0006368920001023071,0.004761398000027839,worst
