frame_len,window,signal,method,runtime_s
128,hann,sine,classical,0.00040909499989538745
128,hann,sine,classical,0.0003987689999576105
128,hann,sine,classical,0.0006783329999962007
128,hann,sine,classical,0.0006548030000885774
128,hamming,sine,classical,0.00042031800012409803
128,hamming,sine,classical,0.0006528710000566207
128,hamming,sine,classical,0.0007274670001606864
128,hamming,sine,classical,0.0006625080000048911
256,hann,sine,classical,0.00041219499985345465
256,hann,sine,classical,0.0004243309999765188
256,hann,sine,classical,0.0006670329998996749
256,hann,sine,classical,0.0006381529999544
256,hamming,sine,classical,0.00037074200008646585
256,hamming,sine,classical,0.0003826590000244323
256,hamming,sine,classical,0.0006242829999791866
256,hamming,sine,classical,0.0006463129998337536
128,hann,chirp,classical,0.0003939099999570317
128,hann,chirp,classical,0.0003739960000075371
128,hann,chirp,classical,0.0006810259999383561
128,hann,chirp,classical,0.0006259540000428387
128,hamming,chirp,classical,0.0004236050001509284
128,hamming,chirp,classical,0.00039625499994144775
128,hamming,chirp,classical,0.0006604539998988912
128,hamming,chirp,classical,0.0006254329998682806
256,hann,chirp,classical,0.00039280900000449037
256,hann,chirp,classical,0.0003679420001390099
256,hann,chirp,classical,0.0006218799999260227
256,hann,chirp,classical,0.0006412180000552326
256,hamming,chirp,classical,0.0003571199999896635
256,hamming,chirp,classical,0.00036924100004398497
256,hamming,chirp,classical,0.0006551970000145957
256,hamming,chirp,classical,0.000619914000026256
128,hann,square,classical,0.0003602570000111882
128,hann,square,classical,0.0003654520000964112
128,hann,square,classical,0.0006656119999206567
128,hann,square,classical,0.0006372429998009466
128,hamming,square,classical,0.0003946829999676993
128,hamming,square,classical,0.00041832900001281814
128,hamming,square,classical,0.0005881930001123692
128,hamming,square,classical,0.0006408809999811638
256,hann,square,classical,0.000379131999807214
256,hann,square,classical,0.00041396100004931213
256,hann,square,classical,0.0006604930001685716
256,hann,square,classical,0.0006557090000569588
256,hamming,square,classical,0.00040184499994211365
256,hamming,square,classical,0.0003980980000051204
256,hamming,square,classical,0.0006368920001023071
256,hamming,square,classical,0.0006286979999003961
128,hann,sine,quantum,0.007989555000222026
128,hann,sine,quantum,0.007441655999855357
128,hann,sine,quantum,0.008145515000023806
128,hann,sine,quantum,0.00829866599997331
128,hamming,sine,quantum,0.007408111000131612
128,hamming,sine,quantum,0.00969697300001826
128,hamming,sine,quantum,0.008500640999955067
128,hamming,sine,quantum,0.008026926999946227
256,hann,sine,quantum,0.0040513820001706335
256,hann,sine,quantum,0.004086961999973937
256,hann,sine,quantum,0.00482342600002994
256,hann,sine,quantum,0.004756160999932035
256,hamming,sine,quantum,0.0040766900001472095
256,hamming,sine,quantum,0.004010896999943725
256,hamming,sine,quantum,0.004749978000063493
256,hamming,sine,quantum,0.004749820999904841
128,hann,chirp,quantum,0.007362112999999226
128,hann,chirp,quantum,0.007352698999966378
128,hann,chirp,quantum,0.007957893999900989
128,hann,chirp,quantum,0.008118658000057621
128,hamming,chirp,quantum,0.007360238000046593
128,hamming,chirp,quantum,0.00877878200003579
128,hamming,chirp,quantum,0.008002717999943343
128,hamming,chirp,quantum,0.008099296000182221
256,hann,chirp,quantum,0.004034559000047011
256,hann,chirp,quantum,0.004027560999929847
256,hann,chirp,quantum,0.004887287999963519
256,hann,chirp,quantum,0.0047733480000715645
256,hamming,chirp,quantum,0.004063878000124532
256,hamming,chirp,quantum,0.0040285400000357185
256,hamming,chirp,quantum,0.004797840000037468
256,hamming,chirp,quantum,0.004814635000002454
128,hann,square,quantum,0.007372540999995181
128,hann,square,quantum,0.007402496999930008
128,hann,square,quantum,0.008058518000098047
128,hann,square,quantum,0.008062291999976878
128,hamming,square,quantum,0.007415575000095487
128,hamming,square,quantum,0.007425646000001507
128,hamming,square,quantum,0.008073422000052233
128,hamming,square,quantum,0.008027507999941008
256,hann,square,quantum,0.004039869999814982
256,hann,square,quantum,0.0040507310000066354
256,hann,square,quantum,0.004791779000015595
256,hann,square,quantum,0.004769674000044688
256,hamming,square,quantum,0.004056070999922667
256,hamming,square,quantum,0.0040319170000202575
256,hamming,square,quantum,0.004761398000027839
256,hamming,square,quantum,0.0047631309998905635
