frame_len,method,runtime_s,mse
64,classical,0.0007619529999374208,3.9247568038208744e-31
64,quantum,0.0344072899999901,3.9247568038208744e-31
128,classical,0.0009295699999256613,9.08316429922622e-31
128,quantum,0.030442946999983178,9.08316429922622e-31
256,classical,0.0006438479999815172,1.842977011894501e-30
256,quantum,0.008331085999998322,1.842977011894501e-30
512,classical,0.0006682450000425888,4.741524339308018e-30
512,quantum,0.005003506999855745,4.741524339308018e-30
1024,classical,0.000725161999980628,9.575846047449871e-30
1024,quantum,0.0032065650000276946,9.575846047449871e-30
2048,classical,0.000726482000118267,2.1355890534771694e-29
2048,quantum,0.002291550000109055,2.1355890534771694e-29
